neighbour UniProt;neighbour name - universal;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour DisProt IDP;neighbour DisProt disorder content;neighbour in AlphaFold;neighbour AlphaFold average pLLDT;neighbour AlphaFold disorder %;neighbour in IUPred;neighbour IUPred long score;neighbour IUPred long disorder %;neighbour IUPred short score;neighbour IUPred short disorder %;neighbour preclinical target;neighbour MCG target;target UniProt;target name - universal;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;target DisProt IDP;target DisProt disorder content;target AlphaFold average pLLDT;target AlphaFold disorder %;target IUPred long score;target IUPred long disorder %;target IUPred short score;target IUPred short disorder %;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;DisProt neighbour third partner - CSN;target third partner - CSN;DisProt neighbour third partner - SIGNOR;target third partner - SIGNOR;DisProt neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;neighbour biomarker for target?
O14939;PLD2;1;1;1;0;0;1;89.14076611;8.410215269;1;0.206;7.7;0.198;8.9;1;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;22;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000076;327.75387;0.048995;14008.53255;0.178708;7994.599506;5.827592;86734.95195;0.003606;11006.89263;0.224211;84013.94301;1;0;1;0;0
P62714;PPP2CB;0;1;1;0;0;1;95.25238033;1.757188498;1;0.181;1;0.188;6.1;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;24;0;0;8;0;0;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.048995;14008.53255;17.242381;39219.63819;5.827592;86734.95195;0.739522;43616.8741;0.224211;84013.94301;0;0;0;0;0
Q9Y2T4;PPP2R2C;0;1;1;0;0;1;89.64258067;5.078664091;1;0.265;10.1;0.239;9.2;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;13;0;0;8;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.048995;14008.53255;0.000004;0;5.827592;86734.95195;0.030161;6730.515538;0.224211;84013.94301;1;0;0;0;0
P17612;PKA;1;1;1;0;0;1;95.82370125;0.661559889;1;0.157;2.3;0.184;4.6;0;0;Q99835;SMO;1;1;1;1;0;1;12.96;73.63189457;26.29934211;0.261;19.4;0.23;14.2;1;1;1;1;0;0;1;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0.623979;48878.5344;0.061147;15608.53974;305.818749;865417.8223;17.261485;77403.49908;1.263752;1471446.721;0.016802;52490.07819;1;0;1;1;0
Q05655;PRKCD;1;1;1;0;0;1;80.81630944;11.26812259;1;0.163;1.2;0.175;3.3;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;21;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0.000031;1415.748458;0.048995;14008.53255;41.29734;270252.9033;5.827592;86734.95195;0.233675;57867.66237;0.224211;84013.94301;1;0;0;0;0
P41743;PRKCI;0;1;1;1;5.87;1;82.48187856;12.50260906;1;0.261;13.4;0.266;16.4;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;20;0;0;7;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0.048995;14008.53255;15.954311;14720.67688;5.827592;86734.95195;0.583467;48919.22453;0.224211;84013.94301;1;1;0;0;0
P17706;PTPN2;0;1;1;0;0;1;86.09253327;10.18491341;1;0.285;12.5;0.274;20.5;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;0;1;1;0;0;0;1;0;0;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0.000006;0;9.557534;11084.96495;42.414389;5206.897276;0.001158;4510.334284;0;0.437648;1;1;1;0;0
P29350;SHP1;1;1;1;0;0;1;86.41216447;10.9686909;1;0.355;15.5;0.315;14.1;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;11;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0.002383;6089.64264;0.000006;0;16.729208;66817.34259;42.414389;5206.897276;0.019529;92910.89397;0;0.437648;1;1;1;1;0
O00422;SAP18;0;1;1;0;0;1;87.521987;6.407137064;1;0.479;40.5;0.443;41.2;0;0;Q99835;SMO;1;1;1;1;0;1;12.96;73.63189457;26.29934211;0.261;19.4;0.23;14.2;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0.061147;15608.53974;0.007928;0;17.261485;77403.49908;0.004199;1739.576707;0.016802;52490.07819;0;0;0;0;0
P12931;SRC;1;1;1;1;15.67;1;84.51330313;13.78737542;1;0.309;15.5;0.275;13.6;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;53;0;0;29;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0.048112;62384.57186;0.000006;0;4.294762;996999.4336;42.414389;5206.897276;2.03794;542579.0695;0;0.437648;1;1;1;1;1
P42224;STAT1;1;1;1;1;5.47;1;88.26073848;6.050748211;1;0.251;6.8;0.237;6.9;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;21;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.001093;8189.64431;0.000006;0;0.427705;53825.97964;42.414389;5206.897276;4.501751;2580999.429;0;0.437648;1;1;1;1;0
Q92769;HDAC2;0;1;1;0;0;1;85.72863661;14.6642655;1;0.32;26.2;0.281;24.4;0;1;P09619;PDGFRB;1;1;1;1;0;0;0;73.51148009;21.66131253;0.276;13.4;0.253;13.3;0;1;1;0;0;0;1;0;0;0;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0.000029;1328.144006;6.890054;4086.127135;2.846163;6183.362211;0.411088;177848.8753;0.107212;73659.33243;1;0;1;1;0
Q13547;HDAC1;1;1;1;1;21.99;1;86.30522225;12.45478036;1;0.308;23.2;0.275;21.4;0;1;Q92769;HDAC2;0;1;1;1;0;0;0;85.72863661;14.6642655;0.32;26.2;0.281;24.4;0;1;1;0;0;0;1;0;0;0;47;0;0;10;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0.000001;0;0;0;1.167222;30330.08279;6.890054;4086.127135;0.539564;140664.3919;0.411088;177848.8753;1;0;1;1;0
O00329;PIK3CD;0;1;1;0;0;1;87.98496187;4.20438304;1;0.166;2.9;0.165;5.2;0;1;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;29;0;0;16;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0.048995;14008.53255;4.027468;416.222215;5.827592;86734.95195;0.063186;44571.73732;0.224211;84013.94301;1;1;0;1;0
Q13588;GRAP;0;1;1;0;0;1;85.49248078;2.508361204;1;0.18;0;0.229;4.6;0;0;O60674;JAK2;1;1;1;1;0;0;0;87.78213107;5.722367276;0.19;1.1;0.19;2.1;0;1;1;0;0;0;1;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0.001371;7745.244079;0.546283;444.033383;0.668514;195725.6435;0.000001;98.765211;0.942425;284291.8298;0;0;0;0;0
P05412;c-JUN;1;1;1;0;0;1;62.21126752;38.22471012;1;0.577;63.7;0.458;28.7;0;0;P09619;PDGFRB;1;1;1;1;0;0;0;73.51148009;21.66131253;0.276;13.4;0.253;13.3;1;1;1;1;0;0;1;0;0;0;36;0;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0.023625;3561.268749;0.000029;1328.144006;11.105905;104672.4703;2.846163;6183.362211;5.181425;1326205.087;0.107212;73659.33243;1;0;1;1;0
P21860;ErbB3;1;1;1;0;0;1;72.82537353;29.19320594;1;0.286;25.6;0.226;20.6;0;0;O60674;JAK2;1;1;1;1;0;0;0;87.78213107;5.722367276;0.19;1.1;0.19;2.1;1;1;1;1;0;0;1;0;0;0;40;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0.000001;21.095779;0.001371;7745.244079;6.8728;5109.732047;0.668514;195725.6435;0.029242;100309.7997;0.942425;284291.8298;1;1;1;1;1
P19174;PLCG1;1;1;1;0;0;1;83.34171031;11.14722753;1;0.261;5.7;0.244;8.4;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;37;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0.155875;21132.21127;0.000006;0;168.691764;44891.5677;42.414389;5206.897276;0.01662;7530.865299;0;0.437648;1;0;1;1;0
Q12913;PTPRJ;0;1;1;0;0;1;78.57151174;17.48054475;1;0.345;18.6;0.285;12.6;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;0;1;1;0;0;0;1;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0.000006;0;22.51727;7731.13083;42.414389;5206.897276;0.000051;102.476557;0;0.437648;1;1;1;0;0
P27986;PIK3R1;1;1;1;1;1.93;1;83.78741892;8.111318513;1;0.347;13.4;0.289;15.6;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0.000215;762.399806;0.000006;0;109.596942;48738.69735;42.414389;5206.897276;0.226718;152814.2476;0;0.437648;1;1;1;1;0
Q05397;PTK2;1;1;1;1;1.81;1;75.09044763;24.89854381;1;0.352;31;0.303;21.2;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;39;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0.051541;13654.81512;0.000006;0;15.571557;37785.4768;42.414389;5206.897276;0.083979;334765.1483;0;0.437648;1;1;1;1;0
P29353;SHC1;1;1;1;1;8.4;1;63.38228005;43.13236627;1;0.56;57.5;0.465;50.3;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0.025377;20673.27086;0.000006;0;99.554448;69869.81168;42.414389;5206.897276;0.046798;120532.0675;0;0.437648;1;1;1;0;0
P42336;PI3K;1;1;1;0;0;1;92.61457815;1.100664985;1;0.137;1.6;0.137;2.2;0;0;P07949;RET;0;1;1;1;0;0;0;79.44205719;18.04347826;0.205;3.8;0.187;3.1;0;1;1;0;0;0;1;0;0;0;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.648399;42907.41856;0;0;13.863189;10899.5637;9.327672;50267.07839;0.23514;177436.6093;0.005026;2301.269797;1;1;1;1;1
O15111;IKKA;1;1;1;0;0;1;84.64236014;9.625758597;1;0.203;3.9;0.193;7.2;0;0;P42345;MTOR;1;1;1;1;0;1;9.14;77.48096314;9.55291566;0.203;5.5;0.177;5.1;1;1;1;1;0;0;1;0;0;0;11;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1.092885;1733.099291;0.00014;411.58335;11.76556;30107.32863;8.600826;73839.38001;0.691985;44679.97792;0.097524;99079.27818;1;0;0;0;0
Q16584;MAP3K11;0;1;1;0;0;1;63.69647839;45.087236;1;0.507;48.8;0.431;44.2;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;8;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.048995;14008.53255;7.898467;1923.244728;5.827592;86734.95195;0.000017;1757.106006;0.224211;84013.94301;1;0;0;0;0
P62140;PPP1CB;0;1;1;0;0;1;91.98636774;7.662835249;1;0.146;6.7;0.172;8.9;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.048995;14008.53255;2.763221;3164.775866;5.827592;86734.95195;1.380447;53698.99818;0.224211;84013.94301;1;1;1;0;0
P36873;PPP1CC;1;1;1;0;0;1;93.03984588;7.08509819;1;0.135;6.8;0.167;8.4;1;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.002933;2120.825873;0.048995;14008.53255;14.656751;21306.22613;5.827592;86734.95195;1.677387;43712.9664;0.224211;84013.94301;1;0;0;0;0
Q15173;PPP2R5B;0;1;1;0;0;1;86.64021476;11.38271605;1;0.218;17.1;0.215;19.1;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;12;0;0;6;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.048995;14008.53255;0.035926;1725.27885;5.827592;86734.95195;0.395669;4957.511622;0.224211;84013.94301;0;0;0;0;0
P45983;JNK;1;1;1;0;0;1;83.65007691;14.41654357;1;0.251;17.1;0.227;18.5;0;0;P07949;RET;0;1;1;1;0;0;0;79.44205719;18.04347826;0.205;3.8;0.187;3.1;0;1;1;0;0;0;1;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.37145;26384.63174;0;0;62.375906;211114.0814;9.327672;50267.07839;0.596057;299275.5364;0.005026;2301.269797;1;1;1;1;0
P31751;AKT2;0;1;1;1;14.35;1;82.57249421;10.67515924;1;0.236;9.1;0.233;10.2;0;0;P42345;MTOR;1;1;1;1;0;1;9.14;77.48096314;9.55291566;0.203;5.5;0.177;5.1;0;1;1;0;0;0;1;0;0;0;22;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.00014;411.58335;16.244252;57260.93415;8.600826;73839.38001;0.081606;126024.5751;0.097524;99079.27818;1;1;0;1;0
Q05513;PRKCZ;1;1;1;0;0;1;80.53423217;13.27303324;1;0.25;9;0.256;17.4;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;24;0;0;7;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0.000025;1238.065573;0.048995;14008.53255;2.107223;22081.24848;5.827592;86734.95195;2.121683;94323.2069;0.224211;84013.94301;1;0;0;0;0
Q9P286;PAK5;0;1;1;0;0;1;63.19532024;49.50721577;1;0.407;33.9;0.372;28;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.048995;14008.53255;3.82992;1343.23522;5.827592;86734.95195;0.064272;605.125724;0.224211;84013.94301;1;0;1;1;0
P22694;PKAc;1;1;1;0;0;1;95.62886207;1.009046625;1;0.143;3.1;0.169;4.3;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;13;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0.087703;10069.12276;0.048995;14008.53255;12.964701;4029.602534;5.827592;86734.95195;0.671383;947733.5018;0.224211;84013.94301;1;0;0;0;0
P22612;PRKACG;0;1;1;0;0;1;94.84434567;1.609517145;1;0.148;4;0.185;6.6;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;0;1;1;0;0;0;1;0;0;0;13;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0.048995;14008.53255;1.35138;74.41027;5.827592;86734.95195;0.66913;909668.078;0.224211;84013.94301;0;0;0;0;0
Q02156;PRKCE;1;1;1;0;0;1;79.6824625;16.59292035;1;0.25;15.7;0.236;16.7;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;23;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000001;0;0.048995;14008.53255;125.512636;47215.18205;5.827592;86734.95195;0.409091;93831.54477;0.224211;84013.94301;1;0;0;0;0
P42574;CASP3;1;1;1;1;15.16;1;86.35735764;14.67931346;1;0.238;11.9;0.214;4.7;0;0;P11802;CDK4;1;1;1;1;0;0;0;88.25908684;3.661616162;0.242;7.3;0.252;12.5;1;1;1;1;0;0;1;0;0;0;16;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;5.358575;37922.19004;0.011566;1201.082457;1.654857;53611.02222;110.101313;21050.30164;1.42564;186204.4604;0.600493;94610.49431;1;1;1;1;0
P46108;CRK;1;1;1;1;37.83;1;70.71473911;20.47638947;1;0.481;36.2;0.408;27;0;0;P10721;KIT;1;1;1;1;0;1;2.25;78.83606221;15.53398058;0.194;2.7;0.188;4.3;1;1;1;1;0;0;1;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.003038;508.292333;0.00065;12628.53075;42.873064;3929.696271;2.371876;40339.09798;0.009519;17079.95886;0.014865;15137.85004;1;1;1;0;0
P23771;GATA3;1;1;1;1;2.48;1;58.31753722;51.78253119;1;0.538;65.5;0.464;43.8;0;0;Q13547;HDAC1;1;1;1;1;0;1;21.99;86.30522225;12.45478036;0.308;23.2;0.275;21.4;1;1;1;1;0;0;1;0;0;0;9;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0.000001;0;0.486551;9977.476012;1.167222;30330.08279;5.852572;29060.53472;0.539564;140664.3919;1;1;1;1;0
Q13363;CTBP1;1;1;1;1;5;1;84.53897973;19.86834231;1;0.294;10.9;0.244;9.3;0;0;Q13547;HDAC1;1;1;1;1;0;1;21.99;86.30522225;12.45478036;0.308;23.2;0.275;21.4;1;1;1;1;0;0;1;0;0;0;15;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.000098;3026.838454;0.000001;0;0.787553;16089.30534;1.167222;30330.08279;0.005835;7568.542505;0.539564;140664.3919;1;0;0;0;0
P09919;CSF3;0;1;1;1;4.83;1;85.03600616;3.130990415;1;0.142;1;0.163;4.3;0;0;O60674;JAK2;1;1;1;1;0;0;0;87.78213107;5.722367276;0.19;1.1;0.19;2.1;0;1;1;0;0;0;1;0;0;0;50;0;0;35;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0.001371;7745.244079;0.006239;42.164306;0.668514;195725.6435;0.002847;13758.44636;0.942425;284291.8298;1;1;1;1;0
P18146;EGR1;1;1;1;0;0;1;50.40081103;67.68051434;1;0.594;72.2;0.483;40.7;0;0;Q92769;HDAC2;0;1;1;1;0;0;0;85.72863661;14.6642655;0.32;26.2;0.281;24.4;0;1;1;0;0;0;1;0;0;0;36;0;0;7;0;0;29;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0.000001;0;0;0;0.317257;26566.46989;6.890054;4086.127135;1.493667;644885.9181;0.411088;177848.8753;1;0;1;1;0
Q9UER7;DAXX;1;1;1;1;68.24;1;64.31121342;52.2707347;1;0.612;64.7;0.52;59.6;0;0;O15379;HDAC3;1;1;1;1;0;0;0;91.20210965;6.877539176;0.178;10.3;0.185;11.7;1;1;1;1;0;0;1;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.516319;152.12652;0.000461;1190;6.581195;17347.11465;4.913811;4164.090012;2.1079;20078.39565;0.055864;51200.13042;1;0;1;0;0
P18146;EGR1;1;1;1;0;0;1;50.40081103;67.68051434;1;0.594;72.2;0.483;40.7;0;0;O15379;HDAC3;1;1;1;1;0;0;0;91.20210965;6.877539176;0.178;10.3;0.185;11.7;1;1;1;1;0;0;1;0;0;0;10;0;0;9;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0.000001;0;0.000461;1190;0.317257;26566.46989;4.913811;4164.090012;1.493667;644885.9181;0.055864;51200.13042;1;0;1;1;0
P15976;GATA1;1;1;1;0;0;1;59.6450817;47.71742752;1;0.446;31.7;0.371;25.7;0;0;Q13547;HDAC1;1;1;1;1;0;1;21.99;86.30522225;12.45478036;0.308;23.2;0.275;21.4;1;1;1;1;0;0;1;0;0;0;12;0;0;3;0;0;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0.000006;0;0.000001;0;0.170807;7708.690051;1.167222;30330.08279;0.331054;200172.7754;0.539564;140664.3919;1;1;1;1;0
P17252;PRKCA;1;1;1;0;0;1;86.71925641;8.585203041;1;0.245;9.1;0.237;10.9;0;0;Q99835;SMO;1;1;1;1;0;1;12.96;73.63189457;26.29934211;0.261;19.4;0.23;14.2;1;1;1;1;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.295202;25239.03126;0.061147;15608.53974;55.726599;455327.3755;17.261485;77403.49908;0.934171;200363.2784;0.016802;52490.07819;1;0;1;0;0
P28482;ERK2;1;1;1;1;8.33;1;90.98993833;3.259005146;1;0.135;0;0.145;3.3;0;0;P15692;VEGFA;1;1;1;0;1;0;0;78.4114064;11.73036093;0.484;47.8;0.415;47.6;1;1;1;1;0;0;1;0;0;0;60;0;0;20;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0.234155;33080.42287;0.000006;0;81.847521;620137.7574;42.414389;5206.897276;7.948079;1208201.794;0;0.437648;1;0;1;1;0
P42336;PI3K;1;1;1;0;0;1;92.61457815;1.100664985;1;0.137;1.6;0.137;2.2;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;37;0;0;19;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0.648399;42907.41856;0.048995;14008.53255;13.863189;10899.5637;5.827592;86734.95195;0.23514;177436.6093;0.224211;84013.94301;1;1;1;1;0
P42338;p110Ia;1;1;1;0;0;1;86.78984016;4.135294799;1;0.133;0.8;0.136;1.4;0;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;29;0;0;15;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0.000046;3292.251112;0.048995;14008.53255;4.409685;3107.513127;5.827592;86734.95195;0.060926;44104.59058;0.224211;84013.94301;1;0;0;0;0
P05112;IL4;1;1;1;0;0;1;87.1739726;4.241435563;1;0.158;0;0.176;5.9;0;0;P52333;JAK3;1;1;1;1;0;0;0;86.72970347;6.681058971;0.183;1.8;0.195;3.4;1;1;1;1;0;0;1;0;0;0;30;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.010546;1558.844458;0.000015;553.689357;0.139777;3735.923995;2.979032;14296.09861;0.023985;10250.96517;0.011023;20558.58677;1;1;1;1;0
P13232;IL7;0;1;1;0;0;1;74.18424621;17.55130927;1;0.161;8.5;0.177;9.6;0;0;P52333;JAK3;1;1;1;1;0;0;0;86.72970347;6.681058971;0.183;1.8;0.195;3.4;0;1;1;0;0;0;1;0;0;0;23;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.000015;553.689357;0.002773;8.685094;2.979032;14296.09861;0.000354;3380.434829;0.011023;20558.58677;1;1;1;1;0
Q9Y4H2;IRS2;1;1;1;0;0;1;48.31537386;78.86288318;1;0.644;74.6;0.524;60.4;0;0;O60674;JAK2;1;1;1;1;0;0;0;87.78213107;5.722367276;0.19;1.1;0.19;2.1;1;1;1;1;0;0;1;0;0;0;25;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000524;2075.858817;0.001371;7745.244079;1.527443;577.02848;0.668514;195725.6435;0.002566;5055.10972;0.942425;284291.8298;1;1;1;0;0
Q9Y2U5;MAP3K2;1;1;1;0;0;1;68.18385728;39.22528033;1;0.419;40.2;0.374;34.2;1;0;P04049;RAF1;1;1;1;1;0;1;4.17;68.68401773;33.80116959;0.293;20.7;0.28;22.2;1;1;1;1;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.000237;1586.429354;0.048995;14008.53255;0.383249;391.536955;5.827592;86734.95195;0.003643;954.388671;0.224211;84013.94301;1;0;0;0;0
